날짜,QQQ 매수량,QQQ 매도량,QQQ 잔량,QQQ 종가,QQQ 매수 평균 가격,QQQ 종가치,TQQQ 매수량,TQQQ 매도량,TQQQ 잔량,TQQQ 종가,TQQQ 매수 평균 가격,TQQQ 종가치,예수금,총 평가액
2023-06-07,0,0,328,348.82000732421875,317.91433432616435,114412.96240234375,0,0,1,34.97999954223633,22.136802995947395,34.97999954223633,20.950454711914062,114468.8928565979
2023-06-08,0,0,328,353.1499938964844,317.91433432616435,115833.19799804688,0,0,1,36.18000030517578,22.136802995947395,36.18000030517578,20.950454711914062,115890.32845306396
2023-06-09,0,0,328,354.5,317.91433432616435,116276.0,0,0,1,36.619998931884766,22.136802995947395,36.619998931884766,20.950454711914062,116333.5704536438
2023-06-12,0,0,328,360.489990234375,317.91433432616435,118240.716796875,0,0,1,38.4900016784668,22.136802995947395,38.4900016784668,20.950454711914062,118300.15725326538
2023-06-13,0,0,328,363.260009765625,317.91433432616435,119149.283203125,0,0,1,39.349998474121094,22.136802995947395,39.349998474121094,20.950454711914062,119209.58365631104
2023-06-14,0,0,328,365.8999938964844,317.91433432616435,120015.19799804688,0,0,1,40.189998626708984,22.136802995947395,40.189998626708984,20.950454711914062,120076.3384513855
2023-06-15,0,0,328,370.260009765625,317.91433432616435,121445.283203125,0,0,1,41.599998474121094,22.136802995947395,41.599998474121094,20.950454711914062,121507.83365631104
2023-06-16,0,0,328,367.92999267578125,317.91433432616435,120681.03759765625,0,0,1,40.79999923706055,22.136802995947395,40.79999923706055,20.950454711914062,120742.78805160522
2023-06-20,0,0,328,366.8999938964844,317.91433432616435,120343.19799804688,0,0,1,40.599998474121094,22.136802995947395,40.599998474121094,20.950454711914062,120404.74845123291
2023-06-21,0,0,328,361.8999938964844,317.91433432616435,118703.19799804688,0,0,1,38.849998474121094,22.136802995947395,38.849998474121094,20.950454711914062,118762.99845123291
2023-06-22,0,0,328,366.1700134277344,317.91433432616435,120103.76440429688,0,0,1,40.13999938964844,22.136802995947395,40.13999938964844,20.950454711914062,120164.85485839844
2023-06-23,0,0,328,362.5400085449219,317.91433432616435,118913.12280273438,0,0,1,38.95000076293945,22.136802995947395,38.95000076293945,20.950454711914062,118973.02325820923
2023-06-26,0,0,328,357.67999267578125,317.91433432616435,117319.03759765625,0,0,1,37.40999984741211,22.136802995947395,37.40999984741211,20.950454711914062,117377.39805221558
2023-06-27,0,0,328,363.8299865722656,317.91433432616435,119336.23559570312,0,0,1,39.2599983215332,22.136802995947395,39.2599983215332,20.950454711914062,119396.44604873657
2023-06-28,0,0,328,364.5400085449219,317.91433432616435,119569.12280273438,0,0,1,39.5,22.136802995947395,39.5,20.950454711914062,119629.57325744629
2023-06-29,0,0,328,363.80999755859375,317.91433432616435,119329.67919921875,0,0,1,39.22999954223633,22.136802995947395,39.22999954223633,20.950454711914062,119389.8596534729
